QUERY_ID,DOC_ID,SCORE,ENGINE,RANK
101,2845,3,(BM25|STS)+Reranker+LLM,1
101,5714,3,(BM25|STS)+Reranker+LLM,3
101,17360,2,(BM25|STS)+Reranker+LLM,2
101,149533,2,(BM25|STS)+Reranker+LLM,6
101,18865,2,(BM25|STS)+Reranker+LLM,7
101,58593,1,(BM25|STS)+Reranker+LLM,4
101,14862,1,(BM25|STS)+Reranker+LLM,5
101,17929,1,(BM25|STS)+Reranker+LLM,8
101,19399,1,(BM25|STS)+Reranker+LLM,9
101,34102,1,(BM25|STS)+Reranker+LLM,10
101,32963,0,BM25+LLM,311
101,34113,0,BM25+LLM,432
101,33481,0,BM25+LLM,676
101,21838,0,BM25+LLM,698
101,15187,0,BM25+LLM,880
102,72733,3,(BM25|STS)+Reranker+LLM,1
102,106389,3,(BM25|STS)+Reranker+LLM,2
102,36391,3,(BM25|STS)+Reranker+LLM,3
102,139391,3,(BM25|STS)+Reranker+LLM,4
102,25711,3,(BM25|STS)+Reranker+LLM,5
102,43860,3,(BM25|STS)+Reranker+LLM,6
102,150633,3,(BM25|STS)+Reranker+LLM,10
102,25645,2,(BM25|STS)+Reranker+LLM,7
102,14500,2,(BM25|STS)+Reranker+LLM,8
102,22871,2,(BM25|STS)+Reranker+LLM,9
102,104533,2,BM25+LLM,458
102,98592,1,BM25+LLM,756
102,43800,0,BM25+LLM,237
102,83774,0,BM25+LLM,446
102,28487,0,BM25+LLM,532
103,48357,3,(BM25|STS)+Reranker+LLM,1
103,22789,3,(BM25|STS)+Reranker+LLM,2
103,26373,3,(BM25|STS)+Reranker+LLM,3
103,25757,3,(BM25|STS)+Reranker+LLM,4
103,21817,3,(BM25|STS)+Reranker+LLM,5
103,31662,3,(BM25|STS)+Reranker+LLM,6
103,22212,3,(BM25|STS)+Reranker+LLM,7
103,33935,3,(BM25|STS)+Reranker+LLM,8
103,22211,3,(BM25|STS)+Reranker+LLM,9
