ID,TEXT,SOURCE,1,2,3,4,5,6,7,8,9,10
1,técnica e preço,search log,técnica e preço - Licitação de técnica e preço,"técnica e preço - Licitação de técnica e preço, Proposta técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação, Proposta","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação, Proposta, Licitação de melhor técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação, Proposta, Licitação de melhor técnica, Proposta de preço","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação, Proposta, Licitação de melhor técnica, Proposta de preço, Preço médio","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação, Proposta, Licitação de melhor técnica, Proposta de preço, Preço médio, Eficiência de custos","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação, Proposta, Licitação de melhor técnica, Proposta de preço, Preço médio, Eficiência de custos, Índice de preços","técnica e preço - Licitação de técnica e preço, Proposta técnica, Tipo de licitação, Proposta, Licitação de melhor técnica, Proposta de preço, Preço médio, Eficiência de custos, Índice de preços"
2,restos a pagar,search log,restos a pagar - Cota-parte,"restos a pagar - Cota-parte, Recolhimento","restos a pagar - Cota-parte, Recolhimento, Quitação","restos a pagar - Cota-parte, Recolhimento, Quitação, Passivo compensado","restos a pagar - Cota-parte, Recolhimento, Quitação, Passivo compensado, Passivo circulante","restos a pagar - Cota-parte, Recolhimento, Quitação, Passivo compensado, Passivo circulante, Despesas de exercícios anteriores","restos a pagar - Cota-parte, Recolhimento, Quitação, Passivo compensado, Passivo circulante, Despesas de exercícios anteriores, Ativo compensado","restos a pagar - Cota-parte, Recolhimento, Quitação, Passivo compensado, Passivo circulante, Despesas de exercícios anteriores, Ativo compensado, Dívida","restos a pagar - Cota-parte, Recolhimento, Quitação, Passivo compensado, Passivo circulante, Despesas de exercícios anteriores, Ativo compensado, Dívida, Despesa empenhada","restos a pagar - Cota-parte, Recolhimento, Quitação, Passivo compensado, Passivo circulante, Despesas de exercícios anteriores, Ativo compensado, Dívida, Despesa empenhada"
3,aditivo a contrato,search log,aditivo a contrato - Termo aditivo,"aditivo a contrato - Termo aditivo, Aditivo qualitativo","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo, Apostila (Licitação)","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo, Apostila (Licitação), Alteração contratual","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo, Apostila (Licitação), Alteração contratual, Ajuste","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo, Apostila (Licitação), Alteração contratual, Ajuste, Jogo de planilhas","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo, Apostila (Licitação), Alteração contratual, Ajuste, Jogo de planilhas, Acréscimo","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo, Apostila (Licitação), Alteração contratual, Ajuste, Jogo de planilhas, Acréscimo, Apostilamento","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Aditivo quantitativo, Apostila (Licitação), Alteração contratual, Ajuste, Jogo de planilhas, Acréscimo, Apostilamento"
4,adesão a ata de registro de preços,search log,adesão a ata de registro de preços - Sistema de Registro de Preços,"adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços, Contrato de adesão","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços, Contrato de adesão, Impugnação de preço","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços, Contrato de adesão, Impugnação de preço","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços, Contrato de adesão, Impugnação de preço","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços, Contrato de adesão, Impugnação de preço","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços, Contrato de adesão, Impugnação de preço","adesão a ata de registro de preços - Sistema de Registro de Preços, Princípio da vinculação ao instrumento convocatório, Intenção de Registro de Preços, Contrato de adesão, Impugnação de preço"
5,sobrepreço e superfaturamento,search log,sobrepreço e superfaturamento - Faturamento,"sobrepreço e superfaturamento - Faturamento, Licitação","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito, Irregularidade grave","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito, Irregularidade grave, Indício de irregularidade grave","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito, Irregularidade grave, Indício de irregularidade grave, Obras, serviços ou compras de grande vulto","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito, Irregularidade grave, Indício de irregularidade grave, Obras, serviços ou compras de grande vulto, Preço","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito, Irregularidade grave, Indício de irregularidade grave, Obras, serviços ou compras de grande vulto, Preço, Excesso de exação","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito, Irregularidade grave, Indício de irregularidade grave, Obras, serviços ou compras de grande vulto, Preço, Excesso de exação","sobrepreço e superfaturamento - Faturamento, Licitação, Enriquecimento ilícito, Irregularidade grave, Indício de irregularidade grave, Obras, serviços ou compras de grande vulto, Preço, Excesso de exação"
6,restrição a competitividade,search log,restrição a competitividade - Princípio da competição,"restrição a competitividade - Princípio da competição, Suspensão temporária","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados, Inexigibilidade de licitação","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados, Inexigibilidade de licitação, Princípio da non reformatio in pejus","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados, Inexigibilidade de licitação, Princípio da non reformatio in pejus, Concorrência desleal","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados, Inexigibilidade de licitação, Princípio da non reformatio in pejus, Concorrência desleal, Preclusão lógica","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados, Inexigibilidade de licitação, Princípio da non reformatio in pejus, Concorrência desleal, Preclusão lógica, Rol taxativo","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados, Inexigibilidade de licitação, Princípio da non reformatio in pejus, Concorrência desleal, Preclusão lógica, Rol taxativo, Exclusão de acesso","restrição a competitividade - Princípio da competição, Suspensão temporária, Limitação de dados, Inexigibilidade de licitação, Princípio da non reformatio in pejus, Concorrência desleal, Preclusão lógica, Rol taxativo, Exclusão de acesso"
7,acréscimos e supressões,search log,acréscimos e supressões - Aditivo,"acréscimos e supressões - Aditivo, Supressão","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho, Concessão (Pessoal)","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho, Concessão (Pessoal), Emenda aditiva","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho, Concessão (Pessoal), Emenda aditiva, Crédito adicional","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho, Concessão (Pessoal), Emenda aditiva, Crédito adicional, Termo aditivo","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho, Concessão (Pessoal), Emenda aditiva, Crédito adicional, Termo aditivo, Acréscimo","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho, Concessão (Pessoal), Emenda aditiva, Crédito adicional, Termo aditivo, Acréscimo, Complementação","acréscimos e supressões - Aditivo, Supressão, Reforço de empenho, Concessão (Pessoal), Emenda aditiva, Crédito adicional, Termo aditivo, Acréscimo, Complementação, Exceção"
8,obras e serviços de engenharia,search log,obras e serviços de engenharia - Consultoria de engenharia,"obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia, Execução de obras e serviços","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia, Execução de obras e serviços, Projeto de engenharia","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia, Execução de obras e serviços, Projeto de engenharia, Obras, serviços ou compras de grande vulto","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia, Execução de obras e serviços, Projeto de engenharia, Obras, serviços ou compras de grande vulto, ART","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia, Execução de obras e serviços, Projeto de engenharia, Obras, serviços ou compras de grande vulto, ART, Contratação integrada","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia, Execução de obras e serviços, Projeto de engenharia, Obras, serviços ou compras de grande vulto, ART, Contratação integrada","obras e serviços de engenharia - Consultoria de engenharia, Serviços especiais de engenharia, Serviços comuns de engenharia, Execução de obras e serviços, Projeto de engenharia, Obras, serviços ou compras de grande vulto, ART, Contratação integrada"
9,fiscalizacao de contratos,search log,fiscalizacao de contratos - Auditoria de conformidade,"fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal, Acompanhamento","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal, Acompanhamento, Cnep","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal, Acompanhamento, Cnep, Fiscalização financeira e orçamentária","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal, Acompanhamento, Cnep, Fiscalização financeira e orçamentária, Fiscalização tributária","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal, Acompanhamento, Cnep, Fiscalização financeira e orçamentária, Fiscalização tributária, Custo da fiscalização","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal, Acompanhamento, Cnep, Fiscalização financeira e orçamentária, Fiscalização tributária, Custo da fiscalização, Auditoria financeira e orçamentária","fiscalizacao de contratos - Auditoria de conformidade, Critério de fiscalização, Regularidade fiscal, Acompanhamento, Cnep, Fiscalização financeira e orçamentária, Fiscalização tributária, Custo da fiscalização, Auditoria financeira e orçamentária, Siconv"
10,diarias e passagens,search log,diarias e passagens - Adicional de embarque e desembarque,"diarias e passagens - Adicional de embarque e desembarque, Deveres","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro, Transporte","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro, Transporte, DARF","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro, Transporte, DARF, Autuar","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro, Transporte, DARF, Autuar, Viagem a serviço","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro, Transporte, DARF, Autuar, Viagem a serviço, Licença (Transporte)","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro, Transporte, DARF, Autuar, Viagem a serviço, Licença (Transporte)","diarias e passagens - Adicional de embarque e desembarque, Deveres, Passageiro, Transporte, DARF, Autuar, Viagem a serviço, Licença (Transporte)"
