ID,TEXT,SOURCE,1,2,3,4,5,6,7,8,9,10
1,técnica e preço,search log,técnica e preço - Licitação de técnica e preço,"técnica e preço - Licitação de técnica e preço, Proposta técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Tipo de licitação","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Tipo de licitação, Preço global","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Tipo de licitação, Preço global, Gestão tecnológica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Tipo de licitação, Preço global, Gestão tecnológica"
2,restos a pagar,search log,restos a pagar - Recolhimento,"restos a pagar - Recolhimento, Quitação","restos a pagar - Recolhimento, Quitação, Cota-parte","restos a pagar - Recolhimento, Quitação, Cota-parte, Passivo","restos a pagar - Recolhimento, Quitação, Cota-parte, Passivo, Crime contra as finanças públicas","restos a pagar - Recolhimento, Quitação, Cota-parte, Passivo, Crime contra as finanças públicas, Liquidação judicial","restos a pagar - Recolhimento, Quitação, Cota-parte, Passivo, Crime contra as finanças públicas, Liquidação judicial, Passivo trabalhista","restos a pagar - Recolhimento, Quitação, Cota-parte, Passivo, Crime contra as finanças públicas, Liquidação judicial, Passivo trabalhista, Passivo compensado","restos a pagar - Recolhimento, Quitação, Cota-parte, Passivo, Crime contra as finanças públicas, Liquidação judicial, Passivo trabalhista, Passivo compensado, Inadimplência","restos a pagar - Recolhimento, Quitação, Cota-parte, Passivo, Crime contra as finanças públicas, Liquidação judicial, Passivo trabalhista, Passivo compensado, Inadimplência"
3,aditivo a contrato,search log,aditivo a contrato - Termo aditivo,"aditivo a contrato - Termo aditivo, Contrato administrativo","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação, Acréscimo","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação, Acréscimo, Reprovabilidade","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação, Acréscimo, Reprovabilidade, Atualização","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação, Acréscimo, Reprovabilidade, Atualização, Formalização do contrato","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação, Acréscimo, Reprovabilidade, Atualização, Formalização do contrato, Aditivo quantitativo","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação, Acréscimo, Reprovabilidade, Atualização, Formalização do contrato, Aditivo quantitativo","aditivo a contrato - Termo aditivo, Contrato administrativo, Reformulação, Acréscimo, Reprovabilidade, Atualização, Formalização do contrato, Aditivo quantitativo"
4,adesão a ata de registro de preços,search log,adesão a ata de registro de preços - Sistema de Registro de Preços,"adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação, Aval","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação, Aval, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação, Aval, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação, Aval, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação, Aval, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação, Aval, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Impugnação, Aval, Intenção de Registro de Preços"
5,sobrepreço e superfaturamento,search log,sobrepreço e superfaturamento - Excesso,"sobrepreço e superfaturamento - Excesso, Validade","sobrepreço e superfaturamento - Excesso, Validade, Faturamento","sobrepreço e superfaturamento - Excesso, Validade, Faturamento, Licitação","sobrepreço e superfaturamento - Excesso, Validade, Faturamento, Licitação, Preço","sobrepreço e superfaturamento - Excesso, Validade, Faturamento, Licitação, Preço, Despesa","sobrepreço e superfaturamento - Excesso, Validade, Faturamento, Licitação, Preço, Despesa, Obras, serviços ou compras de grande vulto","sobrepreço e superfaturamento - Excesso, Validade, Faturamento, Licitação, Preço, Despesa, Obras, serviços ou compras de grande vulto, Bens e serviços de informática","sobrepreço e superfaturamento - Excesso, Validade, Faturamento, Licitação, Preço, Despesa, Obras, serviços ou compras de grande vulto, Bens e serviços de informática","sobrepreço e superfaturamento - Excesso, Validade, Faturamento, Licitação, Preço, Despesa, Obras, serviços ou compras de grande vulto, Bens e serviços de informática"
6,restrição a competitividade,search log,restrição a competitividade - Concorrência desleal,"restrição a competitividade - Concorrência desleal, Princípio da competição","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação, Análise SWOT","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação, Análise SWOT, Importação","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação, Análise SWOT, Importação, Ordem econômica","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação, Análise SWOT, Importação, Ordem econômica, Política econômica","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação, Análise SWOT, Importação, Ordem econômica, Política econômica, Exportação","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação, Análise SWOT, Importação, Ordem econômica, Política econômica, Exportação","restrição a competitividade - Concorrência desleal, Princípio da competição, Inexigibilidade de licitação, Análise SWOT, Importação, Ordem econômica, Política econômica, Exportação"
7,acréscimos e supressões,search log,acréscimos e supressões - Aditivo,"acréscimos e supressões - Aditivo, Acréscimo","acréscimos e supressões - Aditivo, Acréscimo, Supressão","acréscimos e supressões - Aditivo, Acréscimo, Supressão, Exceção","acréscimos e supressões - Aditivo, Acréscimo, Supressão, Exceção, Complementação","acréscimos e supressões - Aditivo, Acréscimo, Supressão, Exceção, Complementação, Enquadramento","acréscimos e supressões - Aditivo, Acréscimo, Supressão, Exceção, Complementação, Enquadramento, Extrapolação","acréscimos e supressões - Aditivo, Acréscimo, Supressão, Exceção, Complementação, Enquadramento, Extrapolação, Parcelamento","acréscimos e supressões - Aditivo, Acréscimo, Supressão, Exceção, Complementação, Enquadramento, Extrapolação, Parcelamento, Inclusão","acréscimos e supressões - Aditivo, Acréscimo, Supressão, Exceção, Complementação, Enquadramento, Extrapolação, Parcelamento, Inclusão, Excesso"
8,obras e serviços de engenharia,search log,obras e serviços de engenharia - Obra pública,"obras e serviços de engenharia - Obra pública, Projeto de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços, Consultoria de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços, Consultoria de engenharia, Infraestrutura","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços, Consultoria de engenharia, Infraestrutura, Serviços especiais de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços, Consultoria de engenharia, Infraestrutura, Serviços especiais de engenharia, Superfaturamento","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços, Consultoria de engenharia, Infraestrutura, Serviços especiais de engenharia, Superfaturamento, Serviços comuns de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços, Consultoria de engenharia, Infraestrutura, Serviços especiais de engenharia, Superfaturamento, Serviços comuns de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Execução de obras e serviços, Consultoria de engenharia, Infraestrutura, Serviços especiais de engenharia, Superfaturamento, Serviços comuns de engenharia"
9,fiscalizacao de contratos,search log,fiscalizacao de contratos - Contrato administrativo,"fiscalizacao de contratos - Contrato administrativo, Execução de contrato","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante, Lei de Licitações e Contratos","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante, Lei de Licitações e Contratos, Formalização do contrato","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante, Lei de Licitações e Contratos, Formalização do contrato, SIASG","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante, Lei de Licitações e Contratos, Formalização do contrato, SIASG, Gestão contratual","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante, Lei de Licitações e Contratos, Formalização do contrato, SIASG, Gestão contratual, Acompanhamento","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante, Lei de Licitações e Contratos, Formalização do contrato, SIASG, Gestão contratual, Acompanhamento, Critério de fiscalização","fiscalizacao de contratos - Contrato administrativo, Execução de contrato, Contratante, Lei de Licitações e Contratos, Formalização do contrato, SIASG, Gestão contratual, Acompanhamento, Critério de fiscalização, Fiscalização financeira e orçamentária"
10,diarias e passagens,search log,diarias e passagens - Viagem a serviço,"diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro, Transporte de passageiros","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro, Transporte de passageiros, Transporte","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro, Transporte de passageiros, Transporte, Agência de viagem","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro, Transporte de passageiros, Transporte, Agência de viagem, Traslado","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro, Transporte de passageiros, Transporte, Agência de viagem, Traslado, Transporte coletivo","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro, Transporte de passageiros, Transporte, Agência de viagem, Traslado, Transporte coletivo","diarias e passagens - Viagem a serviço, Adicional de embarque e desembarque, Passageiro, Transporte de passageiros, Transporte, Agência de viagem, Traslado, Transporte coletivo"
