ID,TEXT,SOURCE,1,2,3,4,5,6,7,8,9,10
1,técnica e preço,search log,técnica e preço - Licitação de técnica e preço,"técnica e preço - Licitação de técnica e preço, Proposta técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta, Bens e serviços de informática","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta, Bens e serviços de informática, Proposta de preço","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta, Bens e serviços de informática, Proposta de preço, Licitação de melhor técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta, Bens e serviços de informática, Proposta de preço, Licitação de melhor técnica, Tipo de licitação","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta, Bens e serviços de informática, Proposta de preço, Licitação de melhor técnica, Tipo de licitação, Documento técnico","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta, Bens e serviços de informática, Proposta de preço, Licitação de melhor técnica, Tipo de licitação, Documento técnico"
2,restos a pagar,search log,restos a pagar - Recolhimento,"restos a pagar - Recolhimento, Crime contra as finanças públicas","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte, Quitação","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte, Quitação, Juros","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte, Quitação, Juros, Obrigação","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte, Quitação, Juros, Obrigação, Exercício financeiro anterior","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte, Quitação, Juros, Obrigação, Exercício financeiro anterior, Passivo permanente","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte, Quitação, Juros, Obrigação, Exercício financeiro anterior, Passivo permanente, Dívida","restos a pagar - Recolhimento, Crime contra as finanças públicas, Cota-parte, Quitação, Juros, Obrigação, Exercício financeiro anterior, Passivo permanente, Dívida"
3,aditivo a contrato,search log,aditivo a contrato - Termo aditivo,"aditivo a contrato - Termo aditivo, Acréscimo","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo, Aditivo quantitativo","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Reformulação","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Reformulação, Apostila (Licitação)","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Reformulação, Apostila (Licitação), Reprovabilidade","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Reformulação, Apostila (Licitação), Reprovabilidade, Formalização do contrato","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Reformulação, Apostila (Licitação), Reprovabilidade, Formalização do contrato","aditivo a contrato - Termo aditivo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Reformulação, Apostila (Licitação), Reprovabilidade, Formalização do contrato"
4,adesão a ata de registro de preços,search log,adesão a ata de registro de preços - Sistema de Registro de Preços,"adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços, Aval","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços, Aval, Cláusula obrigatória","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços, Aval, Cláusula obrigatória","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços, Aval, Cláusula obrigatória","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços, Aval, Cláusula obrigatória","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços, Aval, Cláusula obrigatória","adesão a ata de registro de preços - Sistema de Registro de Preços, Contrato de adesão, Intenção de Registro de Preços, Aval, Cláusula obrigatória"
5,sobrepreço e superfaturamento,search log,sobrepreço e superfaturamento - Excesso,"sobrepreço e superfaturamento - Excesso, Preço","sobrepreço e superfaturamento - Excesso, Preço, Faturamento","sobrepreço e superfaturamento - Excesso, Preço, Faturamento, Licitação","sobrepreço e superfaturamento - Excesso, Preço, Faturamento, Licitação, Validade","sobrepreço e superfaturamento - Excesso, Preço, Faturamento, Licitação, Validade, Método de limitação de preços unitários ajustados","sobrepreço e superfaturamento - Excesso, Preço, Faturamento, Licitação, Validade, Método de limitação de preços unitários ajustados, Despesa","sobrepreço e superfaturamento - Excesso, Preço, Faturamento, Licitação, Validade, Método de limitação de preços unitários ajustados, Despesa, Método de limitação do preço global","sobrepreço e superfaturamento - Excesso, Preço, Faturamento, Licitação, Validade, Método de limitação de preços unitários ajustados, Despesa, Método de limitação do preço global","sobrepreço e superfaturamento - Excesso, Preço, Faturamento, Licitação, Validade, Método de limitação de preços unitários ajustados, Despesa, Método de limitação do preço global"
6,restrição a competitividade,search log,restrição a competitividade - Princípio da competição,"restrição a competitividade - Princípio da competição, Rol taxativo","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal, Ordem econômica","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal, Ordem econômica, Inexigibilidade de licitação","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal, Ordem econômica, Inexigibilidade de licitação, Análise SWOT","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal, Ordem econômica, Inexigibilidade de licitação, Análise SWOT, Limitação de dados","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal, Ordem econômica, Inexigibilidade de licitação, Análise SWOT, Limitação de dados, Importação","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal, Ordem econômica, Inexigibilidade de licitação, Análise SWOT, Limitação de dados, Importação","restrição a competitividade - Princípio da competição, Rol taxativo, Concorrência desleal, Ordem econômica, Inexigibilidade de licitação, Análise SWOT, Limitação de dados, Importação"
7,acréscimos e supressões,search log,acréscimos e supressões - Supressão,"acréscimos e supressões - Supressão, Acréscimo","acréscimos e supressões - Supressão, Acréscimo, Aditivo","acréscimos e supressões - Supressão, Acréscimo, Aditivo, Complementação","acréscimos e supressões - Supressão, Acréscimo, Aditivo, Complementação, Exceção","acréscimos e supressões - Supressão, Acréscimo, Aditivo, Complementação, Exceção, Enquadramento","acréscimos e supressões - Supressão, Acréscimo, Aditivo, Complementação, Exceção, Enquadramento, Excesso","acréscimos e supressões - Supressão, Acréscimo, Aditivo, Complementação, Exceção, Enquadramento, Excesso, Extrapolação","acréscimos e supressões - Supressão, Acréscimo, Aditivo, Complementação, Exceção, Enquadramento, Excesso, Extrapolação, Inclusão","acréscimos e supressões - Supressão, Acréscimo, Aditivo, Complementação, Exceção, Enquadramento, Excesso, Extrapolação, Inclusão, Encerramento"
8,obras e serviços de engenharia,search log,obras e serviços de engenharia - Obra pública,"obras e serviços de engenharia - Obra pública, Projeto de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Consultoria de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Consultoria de engenharia, Serviços comuns de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Consultoria de engenharia, Serviços comuns de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Consultoria de engenharia, Serviços comuns de engenharia"
9,fiscalizacao de contratos,search log,fiscalizacao de contratos - Contrato administrativo,"fiscalizacao de contratos - Contrato administrativo, Formalização do contrato","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante, Termo de contrato","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante, Termo de contrato, Gestão contratual","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante, Termo de contrato, Gestão contratual, Critério de fiscalização","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante, Termo de contrato, Gestão contratual, Critério de fiscalização, Lei de Licitações e Contratos","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante, Termo de contrato, Gestão contratual, Critério de fiscalização, Lei de Licitações e Contratos, Fiscalização financeira e orçamentária","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante, Termo de contrato, Gestão contratual, Critério de fiscalização, Lei de Licitações e Contratos, Fiscalização financeira e orçamentária, Consenso","fiscalizacao de contratos - Contrato administrativo, Formalização do contrato, Contratante, Termo de contrato, Gestão contratual, Critério de fiscalização, Lei de Licitações e Contratos, Fiscalização financeira e orçamentária, Consenso, Nulidade do contrato"
10,diarias e passagens,search log,diarias e passagens - Passageiro,"diarias e passagens - Passageiro, Transporte","diarias e passagens - Passageiro, Transporte, (Transporte)","diarias e passagens - Passageiro, Transporte, (Transporte), Viagem a serviço","diarias e passagens - Passageiro, Transporte, (Transporte), Viagem a serviço, Adicional de embarque e desembarque","diarias e passagens - Passageiro, Transporte, (Transporte), Viagem a serviço, Adicional de embarque e desembarque, Custo da fiscalização","diarias e passagens - Passageiro, Transporte, (Transporte), Viagem a serviço, Adicional de embarque e desembarque, Custo da fiscalização, Transporte de passageiros","diarias e passagens - Passageiro, Transporte, (Transporte), Viagem a serviço, Adicional de embarque e desembarque, Custo da fiscalização, Transporte de passageiros, Deveres","diarias e passagens - Passageiro, Transporte, (Transporte), Viagem a serviço, Adicional de embarque e desembarque, Custo da fiscalização, Transporte de passageiros, Deveres","diarias e passagens - Passageiro, Transporte, (Transporte), Viagem a serviço, Adicional de embarque e desembarque, Custo da fiscalização, Transporte de passageiros, Deveres"
