QUERY_ID,DOC_ID,SCORE,ENGINE,RANK
1,21064,3,(BM25|STS)+Reranker+LLM,1
1,42166,3,(BM25|STS)+Reranker+LLM,2
1,13702,3,(BM25|STS)+Reranker+LLM,3
1,20592,3,(BM25|STS)+Reranker+LLM,4
1,15740,3,(BM25|STS)+Reranker+LLM,5
1,53641,3,(BM25|STS)+Reranker+LLM,6
1,31601,3,(BM25|STS)+Reranker+LLM,7
1,54765,3,(BM25|STS)+Reranker+LLM,8
1,20506,3,(BM25|STS)+Reranker+LLM,9
1,47161,3,(BM25|STS)+Reranker+LLM,10
1,161,1,BM25+LLM,52
1,11595,1,BM25+LLM,250
1,40647,1,BM25+LLM,283
1,22155,1,BM25+LLM,474
1,18435,1,BM25+LLM,905
2,31437,3,(BM25|STS)+Reranker+LLM,1
2,19340,3,(BM25|STS)+Reranker+LLM,3
2,77959,3,(BM25|STS)+Reranker+LLM,5
2,17289,2,(BM25|STS)+Reranker+LLM,7
2,18452,2,(BM25|STS)+Reranker+LLM,8
2,18105,1,(BM25|STS)+Reranker+LLM,2
2,19636,1,(BM25|STS)+Reranker+LLM,4
2,31274,0,(BM25|STS)+Reranker+LLM,6
2,17258,0,(BM25|STS)+Reranker+LLM,9
2,32865,0,(BM25|STS)+Reranker+LLM,10
2,19738,0,BM25+LLM,191
2,104484,0,BM25+LLM,226
2,90647,0,BM25+LLM,432
2,21876,0,BM25+LLM,526
2,33096,0,BM25+LLM,895
3,18380,3,(BM25|STS)+Reranker+LLM,1
3,31102,3,(BM25|STS)+Reranker+LLM,4
3,17240,3,(BM25|STS)+Reranker+LLM,5
3,20511,3,(BM25|STS)+Reranker+LLM,6
3,32589,3,(BM25|STS)+Reranker+LLM,7
3,20510,3,(BM25|STS)+Reranker+LLM,8
3,17816,3,BM25+LLM,11
3,18058,2,(BM25|STS)+Reranker+LLM,2
3,17225,2,(BM25|STS)+Reranker+LLM,3
3,57354,2,(BM25|STS)+Reranker+LLM,9
3,18003,2,(BM25|STS)+Reranker+LLM,10
3,3881,2,BM25+LLM,773
3,31096,1,BM25+LLM,55
3,20901,1,BM25+LLM,267
3,11621,1,BM25+LLM,380
4,16895,3,(BM25|STS)+Reranker+LLM,1
4,45015,3,(BM25|STS)+Reranker+LLM,2
4,14526,3,(BM25|STS)+Reranker+LLM,3
4,62306,3,(BM25|STS)+Reranker+LLM,4
4,6237,3,(BM25|STS)+Reranker+LLM,5
4,50537,3,(BM25|STS)+Reranker+LLM,6
4,16981,3,(BM25|STS)+Reranker+LLM,7
4,21201,3,(BM25|STS)+Reranker+LLM,8
4,77927,3,(BM25|STS)+Reranker+LLM,9
4,84935,3,(BM25|STS)+Reranker+LLM,10
4,22098,1,BM25+LLM,97
4,18410,1,BM25+LLM,268
4,8858,1,BM25+LLM,427
4,60811,0,BM25+LLM,737
4,42906,0,BM25+LLM,863
5,21172,3,(BM25|STS)+Reranker+LLM,1
5,17816,3,(BM25|STS)+Reranker+LLM,2
5,4066,3,(BM25|STS)+Reranker+LLM,3
5,53003,3,(BM25|STS)+Reranker+LLM,4
5,94290,3,(BM25|STS)+Reranker+LLM,5
5,114656,3,(BM25|STS)+Reranker+LLM,6
5,50616,3,(BM25|STS)+Reranker+LLM,7
5,144170,3,(BM25|STS)+Reranker+LLM,8
5,16277,3,(BM25|STS)+Reranker+LLM,9
5,59226,3,(BM25|STS)+Reranker+LLM,10
5,18047,2,BM25+LLM,90
5,31612,1,BM25+LLM,603
5,18036,1,BM25+LLM,904
5,42583,0,BM25+LLM,295
5,29387,0,BM25+LLM,885
6,7166,3,(BM25|STS)+Reranker+LLM,1
6,8276,3,(BM25|STS)+Reranker+LLM,2
6,19400,3,(BM25|STS)+Reranker+LLM,3
6,125194,3,(BM25|STS)+Reranker+LLM,4
6,33177,3,(BM25|STS)+Reranker+LLM,5
6,59438,3,(BM25|STS)+Reranker+LLM,6
6,52875,3,(BM25|STS)+Reranker+LLM,7
6,104234,3,(BM25|STS)+Reranker+LLM,8
6,5066,3,(BM25|STS)+Reranker+LLM,9
6,17372,3,(BM25|STS)+Reranker+LLM,10
6,116643,3,BM25+LLM,28
6,17944,3,BM25+LLM,99
6,22851,1,BM25+LLM,351
6,18894,1,BM25+LLM,585
6,13371,0,BM25+LLM,385
7,67219,3,(BM25|STS)+Reranker+LLM,1
7,109711,3,(BM25|STS)+Reranker+LLM,2
7,134594,3,(BM25|STS)+Reranker+LLM,3
7,17022,3,(BM25|STS)+Reranker+LLM,4
7,5574,3,(BM25|STS)+Reranker+LLM,5
7,32639,3,(BM25|STS)+Reranker+LLM,6
7,18043,3,(BM25|STS)+Reranker+LLM,7
7,20539,3,(BM25|STS)+Reranker+LLM,8
7,17207,3,(BM25|STS)+Reranker+LLM,9
7,18359,3,(BM25|STS)+Reranker+LLM,10
7,31470,1,BM25+LLM,505
7,41056,0,BM25+LLM,330
7,17967,0,BM25+LLM,446
7,31398,0,BM25+LLM,563
7,18137,0,BM25+LLM,872
8,100887,3,(BM25|STS)+Reranker+LLM,2
8,33021,3,(BM25|STS)+Reranker+LLM,3
8,135712,3,(BM25|STS)+Reranker+LLM,4
8,31530,3,(BM25|STS)+Reranker+LLM,6
8,21810,3,(BM25|STS)+Reranker+LLM,7
8,20885,3,(BM25|STS)+Reranker+LLM,8
8,20917,3,(BM25|STS)+Reranker+LLM,10
8,32623,3,BM25+LLM,147
8,42404,2,(BM25|STS)+Reranker+LLM,5
8,21249,2,(BM25|STS)+Reranker+LLM,9
8,21246,2,BM25+LLM,282
8,32956,1,(BM25|STS)+Reranker+LLM,1
8,31103,1,BM25+LLM,831
8,18096,0,BM25+LLM,474
8,16247,0,BM25+LLM,568
9,31032,3,(BM25|STS)+Reranker+LLM,1
9,19355,3,(BM25|STS)+Reranker+LLM,2
9,79286,3,(BM25|STS)+Reranker+LLM,3
9,32623,3,(BM25|STS)+Reranker+LLM,4
9,43178,3,(BM25|STS)+Reranker+LLM,5
9,18038,3,(BM25|STS)+Reranker+LLM,6
9,84434,3,(BM25|STS)+Reranker+LLM,7
9,18943,3,(BM25|STS)+Reranker+LLM,8
9,18051,2,(BM25|STS)+Reranker+LLM,9
9,18941,2,(BM25|STS)+Reranker+LLM,10
9,31077,1,BM25+LLM,28
9,31123,1,BM25+LLM,231
9,32606,1,BM25+LLM,245
9,2983,1,BM25+LLM,996
9,18151,0,BM25+LLM,850
10,30310,3,(BM25|STS)+Reranker+LLM,1
10,33649,3,(BM25|STS)+Reranker+LLM,2
10,30107,3,(BM25|STS)+Reranker+LLM,3
10,32381,3,(BM25|STS)+Reranker+LLM,4
10,32385,3,(BM25|STS)+Reranker+LLM,5
10,30893,3,(BM25|STS)+Reranker+LLM,6
10,30086,3,(BM25|STS)+Reranker+LLM,7
10,30891,3,(BM25|STS)+Reranker+LLM,8
10,30290,3,(BM25|STS)+Reranker+LLM,10
10,28521,2,(BM25|STS)+Reranker+LLM,9
10,15049,0,BM25+LLM,55
10,99942,0,BM25+LLM,318
10,33092,0,BM25+LLM,535
10,134007,0,BM25+LLM,897
10,16319,0,BM25+LLM,995
11,43929,3,(BM25|STS)+Reranker+LLM,3
11,33914,3,(BM25|STS)+Reranker+LLM,9
