ID,TEXT,SOURCE,1,2,3,4,5,6,7,8,9,10
1,técnica e preço,search log,técnica e preço - Licitação de técnica e preço,"técnica e preço - Licitação de técnica e preço, Proposta técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio, Preço de mercado","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio, Preço de mercado, Técnica jurídica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio, Preço de mercado, Técnica jurídica, Proposta de preço","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio, Preço de mercado, Técnica jurídica, Proposta de preço, Preço máximo","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio, Preço de mercado, Técnica jurídica, Proposta de preço, Preço máximo, Preço estimado","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio, Preço de mercado, Técnica jurídica, Proposta de preço, Preço máximo, Preço estimado, Proposta","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço médio, Preço de mercado, Técnica jurídica, Proposta de preço, Preço máximo, Preço estimado, Proposta"
2,restos a pagar,search log,restos a pagar - Recolhimento,"restos a pagar - Recolhimento, Recompensa","restos a pagar - Recolhimento, Recompensa, Dívida","restos a pagar - Recolhimento, Recompensa, Dívida, Obrigação","restos a pagar - Recolhimento, Recompensa, Dívida, Obrigação, Nota de empenho de despesa","restos a pagar - Recolhimento, Recompensa, Dívida, Obrigação, Nota de empenho de despesa, Empenho","restos a pagar - Recolhimento, Recompensa, Dívida, Obrigação, Nota de empenho de despesa, Empenho, Recibado","restos a pagar - Recolhimento, Recompensa, Dívida, Obrigação, Nota de empenho de despesa, Empenho, Recibado, Pagamento indevido","restos a pagar - Recolhimento, Recompensa, Dívida, Obrigação, Nota de empenho de despesa, Empenho, Recibado, Pagamento indevido, Seguro de vida","restos a pagar - Recolhimento, Recompensa, Dívida, Obrigação, Nota de empenho de despesa, Empenho, Recibado, Pagamento indevido, Seguro de vida"
3,aditivo a contrato,search log,aditivo a contrato - Termo aditivo,"aditivo a contrato - Termo aditivo, Acréscimo","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade, Atualização","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade, Atualização, Reformulação","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade, Atualização, Reformulação, Reenquadramento","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade, Atualização, Reformulação, Reenquadramento, Contrato administrativo","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade, Atualização, Reformulação, Reenquadramento, Contrato administrativo, Contrato de escopo","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade, Atualização, Reformulação, Reenquadramento, Contrato administrativo, Contrato de escopo","aditivo a contrato - Termo aditivo, Acréscimo, Reprovabilidade, Atualização, Reformulação, Reenquadramento, Contrato administrativo, Contrato de escopo"
4,adesão a ata de registro de preços,search log,adesão a ata de registro de preços - Sistema de Registro de Preços,"adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços, Autoridade de registro","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços, Autoridade de registro, Planilha de custos e formação de preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços, Autoridade de registro, Planilha de custos e formação de preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços, Autoridade de registro, Planilha de custos e formação de preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços, Autoridade de registro, Planilha de custos e formação de preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços, Autoridade de registro, Planilha de custos e formação de preços","adesão a ata de registro de preços - Sistema de Registro de Preços, Ato sujeito a registro, Intenção de Registro de Preços, Autoridade de registro, Planilha de custos e formação de preços"
5,sobrepreço e superfaturamento,search log,sobrepreço e superfaturamento - Faturamento,"sobrepreço e superfaturamento - Faturamento, Excesso","sobrepreço e superfaturamento - Faturamento, Excesso, Preço","sobrepreço e superfaturamento - Faturamento, Excesso, Preço, Validade","sobrepreço e superfaturamento - Faturamento, Excesso, Preço, Validade, Licitação","sobrepreço e superfaturamento - Faturamento, Excesso, Preço, Validade, Licitação, Indústria, inovação e infraestrutura","sobrepreço e superfaturamento - Faturamento, Excesso, Preço, Validade, Licitação, Indústria, inovação e infraestrutura, Bens e serviços de informática","sobrepreço e superfaturamento - Faturamento, Excesso, Preço, Validade, Licitação, Indústria, inovação e infraestrutura, Bens e serviços de informática, Paz, justiça e instituições fortes","sobrepreço e superfaturamento - Faturamento, Excesso, Preço, Validade, Licitação, Indústria, inovação e infraestrutura, Bens e serviços de informática, Paz, justiça e instituições fortes","sobrepreço e superfaturamento - Faturamento, Excesso, Preço, Validade, Licitação, Indústria, inovação e infraestrutura, Bens e serviços de informática, Paz, justiça e instituições fortes"
6,restrição a competitividade,search log,restrição a competitividade - Limitação de dados,"restrição a competitividade - Limitação de dados, Acesso à informação","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço, Princípio da publicidade","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço, Princípio da publicidade, Princípio da competição","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço, Princípio da publicidade, Princípio da competição, Exceção de coisa julgada","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço, Princípio da publicidade, Princípio da competição, Exceção de coisa julgada, Reengenharia","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço, Princípio da publicidade, Princípio da competição, Exceção de coisa julgada, Reengenharia, Zona de processamento de exportação","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço, Princípio da publicidade, Princípio da competição, Exceção de coisa julgada, Reengenharia, Zona de processamento de exportação","restrição a competitividade - Limitação de dados, Acesso à informação, Licitação de menor preço, Princípio da publicidade, Princípio da competição, Exceção de coisa julgada, Reengenharia, Zona de processamento de exportação"
7,acréscimos e supressões,search log,acréscimos e supressões - Acréscimo,"acréscimos e supressões - Acréscimo, Enquadramento","acréscimos e supressões - Acréscimo, Enquadramento, Supressão","acréscimos e supressões - Acréscimo, Enquadramento, Supressão, Encerramento","acréscimos e supressões - Acréscimo, Enquadramento, Supressão, Encerramento, Reprovabilidade","acréscimos e supressões - Acréscimo, Enquadramento, Supressão, Encerramento, Reprovabilidade, Inclusão","acréscimos e supressões - Acréscimo, Enquadramento, Supressão, Encerramento, Reprovabilidade, Inclusão, Exceção","acréscimos e supressões - Acréscimo, Enquadramento, Supressão, Encerramento, Reprovabilidade, Inclusão, Exceção, Extrapolação","acréscimos e supressões - Acréscimo, Enquadramento, Supressão, Encerramento, Reprovabilidade, Inclusão, Exceção, Extrapolação, Atualização","acréscimos e supressões - Acréscimo, Enquadramento, Supressão, Encerramento, Reprovabilidade, Inclusão, Exceção, Extrapolação, Atualização, Excesso"
8,obras e serviços de engenharia,search log,obras e serviços de engenharia - Engenheiro,"obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia, Obra pública","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia, Obra pública, Engenharia de estruturas","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia, Obra pública, Engenharia de estruturas, Consultoria de engenharia","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia, Obra pública, Engenharia de estruturas, Consultoria de engenharia, Obra de arte (Obra pública)","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia, Obra pública, Engenharia de estruturas, Consultoria de engenharia, Obra de arte (Obra pública), Serviço técnico especializado","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia, Obra pública, Engenharia de estruturas, Consultoria de engenharia, Obra de arte (Obra pública), Serviço técnico especializado","obras e serviços de engenharia - Engenheiro, Serviços comuns de engenharia, Serviços especiais de engenharia, Obra pública, Engenharia de estruturas, Consultoria de engenharia, Obra de arte (Obra pública), Serviço técnico especializado"
9,fiscalizacao de contratos,search log,fiscalizacao de contratos - Fiscalização financeira e orçamentária,"fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária, Gestão contratual","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária, Gestão contratual, Consenso","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária, Gestão contratual, Consenso, Reenquadramento","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária, Gestão contratual, Consenso, Reenquadramento, Lei de Licitações e Contratos","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária, Gestão contratual, Consenso, Reenquadramento, Lei de Licitações e Contratos, Contratante","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária, Gestão contratual, Consenso, Reenquadramento, Lei de Licitações e Contratos, Contratante, Contrato de repasse","fiscalizacao de contratos - Fiscalização financeira e orçamentária, Contrato administrativo, Fiscalização tributária, Gestão contratual, Consenso, Reenquadramento, Lei de Licitações e Contratos, Contratante, Contrato de repasse, Critério de fiscalização"
10,diarias e passagens,search log,diarias e passagens - Passageiro,"diarias e passagens - Passageiro, (Transporte)","diarias e passagens - Passageiro, (Transporte), Traslado","diarias e passagens - Passageiro, (Transporte), Traslado, Deveres","diarias e passagens - Passageiro, (Transporte), Traslado, Deveres, Transporte","diarias e passagens - Passageiro, (Transporte), Traslado, Deveres, Transporte, Transporte de passageiros","diarias e passagens - Passageiro, (Transporte), Traslado, Deveres, Transporte, Transporte de passageiros, Trânsito","diarias e passagens - Passageiro, (Transporte), Traslado, Deveres, Transporte, Transporte de passageiros, Trânsito, Aduana","diarias e passagens - Passageiro, (Transporte), Traslado, Deveres, Transporte, Transporte de passageiros, Trânsito, Aduana","diarias e passagens - Passageiro, (Transporte), Traslado, Deveres, Transporte, Transporte de passageiros, Trânsito, Aduana"
