QUERY_ID,DOC_ID,RANK,ENGINE
1,34240,1,TCU_Search
1,20956,2,TCU_Search
1,68513,3,TCU_Search
1,51881,4,TCU_Search
1,39213,5,TCU_Search
1,21229,6,TCU_Search
1,21285,7,TCU_Search
1,17125,8,TCU_Search
1,18324,9,TCU_Search
1,21159,10,TCU_Search
1,20870,11,TCU_Search
1,20969,12,TCU_Search
1,20970,13,TCU_Search
1,20971,14,TCU_Search
1,20869,15,TCU_Search
1,34126,16,TCU_Search
1,31601,17,TCU_Search
1,20871,18,TCU_Search
1,21072,19,TCU_Search
1,34233,20,TCU_Search
2,53678,1,TCU_Search
2,39200,2,TCU_Search
2,112346,3,TCU_Search
2,47053,4,TCU_Search
2,56445,5,TCU_Search
2,18430,6,TCU_Search
2,103476,7,TCU_Search
2,32869,8,TCU_Search
2,77959,9,TCU_Search
2,18105,10,TCU_Search
2,19084,11,TCU_Search
2,17289,12,TCU_Search
2,19340,13,TCU_Search
2,31437,14,TCU_Search
2,76612,15,TCU_Search
2,18432,16,TCU_Search
2,18452,17,TCU_Search
3,17089,1,TCU_Search
3,108415,2,TCU_Search
3,10089,3,TCU_Search
3,11611,4,TCU_Search
3,11612,5,TCU_Search
3,59295,6,TCU_Search
3,59296,7,TCU_Search
3,104455,8,TCU_Search
3,81314,9,TCU_Search
3,81554,10,TCU_Search
3,59318,11,TCU_Search
3,59317,12,TCU_Search
3,34116,13,TCU_Search
3,18416,14,TCU_Search
3,17816,15,TCU_Search
3,49716,16,TCU_Search
3,139160,17,TCU_Search
3,31084,18,TCU_Search
3,15197,19,TCU_Search
3,31120,20,TCU_Search
4,137717,1,TCU_Search
4,20949,2,TCU_Search
4,15092,3,TCU_Search
4,15372,4,TCU_Search
4,20839,5,TCU_Search
4,52912,6,TCU_Search
4,4230,7,TCU_Search
4,15178,8,TCU_Search
4,147727,9,TCU_Search
4,62306,10,TCU_Search
4,50537,11,TCU_Search
4,16895,12,TCU_Search
4,17195,13,TCU_Search
4,70413,14,TCU_Search
4,20860,15,TCU_Search
4,20841,16,TCU_Search
4,41295,17,TCU_Search
4,49694,18,TCU_Search
4,20840,19,TCU_Search
4,42169,20,TCU_Search
5,17816,1,TCU_Search
5,148920,2,TCU_Search
5,23515,3,TCU_Search
5,20524,4,TCU_Search
5,17813,5,TCU_Search
5,16932,6,TCU_Search
5,21171,7,TCU_Search
